Name,Space addr,Space
__INDIRECT__,0x0,-
ABS_ACTIVE_CHS1,0x70000000,mpe:vtc:linear
ABS_ACTIVE_CHS2,0x70000004,
ACLNX_COG_CHS1,0x7000000c,
ACLNY_COG_CHS1,0x70007b6c,
AD3_PrsrVal_Fl_CHS1,0x70007b74,
AD3_PrsrVal_Fl_CHS2,0x70007b7c,
AD3_PrsrVal_Fr_CHS1,0x70007bc4,
AD3_PrsrVal_Fr_CHS2,0x70007d34,
AD3_PrsrVal_Rl_CHS1,0x70007d3c,
AD3_PrsrVal_Rl_CHS2,0x70007d44,
AD3_PrsrVal_Rr_CHS1,0x70007d4c,
AD3_PrsrVal_Rr_CHS2,0x70007d54,
ADAS_aVehAct_MP,0x50000000,
ADAS_tqAcceLimReqPidRawD_MP,0x50000004,
ADAS_tqAcceLimReqPidRawI_MP,0x50000008,
ADAS_tqAcceLimReqPidRawP_MP,0x5000000c,
ADAS_tqAcceLimReqPreCtl_MP,0x50000010,
ADAS_tqAcceLimReqRaw_MP,0x50000014,
ADC_100ms_TASK,0x8005056c,
ADC_10ms_TASK,0x8005060e,
ADC_1ms_TASK,0x80050790,
ADC_Get_MainFunction,0x800c39fc,
ALEM_bAlemEnad_MP,0x50000018,
ALEM_stCptErrActv_MP,0x5000001c,
ALEM_stErrLvl_MP,0x50000020,
ALEM_stFirstErrLvl_MP,0x5000003c,
ALEM_stSecErrLvl_MP,0x50000040,
ALEM_stSysErrLvlBefOverWr_MP,0x50000044,
ALIV_CLAMP_STAT_B,0x70007d5c,
ALIV_CLAMP_STAT_PT,0x70007d64,
ALIV_CON_VEH_B,0x70007d6c,
ALIV_DT_DISP_GRDT_B,0x70007d74,
ALIV_SFA_SteerWheel_Info_CHS1,0x70007d7c,
ALIV_SFA_SteerWheel_Info_CHS2,0x70007d84,
ALIV_ST_GWS_B,0x70007d8c,
ALIV_VCU_HVsystem_status_B,0x70007d94,
ALV_BMS_CellTemp_PT,0x70007d9c,
ALV_BMS_ChgParamReq_PT,0x70007da4,
ALV_BMS_CoolantInletOutletTmp_PT,0x70007dac,
ALV_BMS_CurMeas_PT,0x70007df4,
ALV_BMS_Error_PT,0x70007e5c,
ALV_BMS_HVMeas_PT,0x70032688,
ALV_BMS_HistData_PT,0x7003268c,
ALV_BMS_Insulation_PT,0x70032690,
ALV_BMS_PowerCont_PT,0x70032694,
ALV_BMS_RelayStatus_PT,0x70032698,
ALV_BMS_Sts_PT,0x7003269c,
ALV_BMS_VCU_THMReq_PT,0x700326a0,
ALV_BMS_VolMeas_PT,0x700326a4,
ALV_BMS_WarnMsg_PT,0x700326a8,
ALV_VCU_BMS_ChargingControl_PT,0x700326ac,
ALV_VCU_BMS_ChargingParams_PT,0x700326b0,
ALV_VCU_BMS_HVCoordination_PT,0x700326b4,
ALV_VCU_BMS_ThermalStatus_PT,0x700326b8,
ALV_VCU_Batt_Info_B,0x700326bc,
ALV_VCU_Batt_WarnMsg_B,0x700326c0,
ALV_VCU_ChargingConnectionSts_PT,0x700326c4,
ALV_VCU_ChargingConnection_B,0x700326c8,
ALV_VCU_HV_DrvSys_bstatus_B,0x700326cc,
ALV_VCU_MHU_info_B,0x700326d0,
ALV_VCU_StatusDCDC_B,0x700326d4,
ALV_VCU_WarnMsg_B,0x700326d8,
